Vertices;Comparacoes;Tempo(seg);;;;;;;;;
656;859360;0.00;;;;;;;;;
657;861984;0.00;;;;;;;;;
658;864612;0.00;;;;;;;;;
659;867244;0.00;;;;;;;;;
660;869880;0.00;;;;;;;;;
661;872520;0.00;;;;;;;;;
662;875164;0.00;;;;;;;;;
663;877812;0.00;;;;;;;;;
664;880464;0.00;;;;;;;;;
665;883120;0.00;;;;;;;;;
666;885780;0.00;;;;;;;;;
667;888444;0.00;;;;;;;;;
668;891112;0.00;;;;;;;;;
669;893784;0.00;;;;;;;;;
670;896460;0.00;;;;;;;;;
671;899140;0.00;;;;;;;;;
672;901824;0.00;;;;;;;;;
673;904512;0.00;;;;;;;;;
674;907204;0.00;;;;;;;;;
675;909900;0.00;;;;;;;;;
676;912600;0.00;;;;;;;;;
677;915304;0.00;;;;;;;;;
678;918012;0.00;;;;;;;;;
679;920724;0.00;;;;;;;;;
680;923440;0.00;;;;;;;;;
681;926160;0.00;;;;;;;;;
682;928884;0.00;;;;;;;;;
683;931612;0.00;;;;;;;;;
684;934344;0.00;;;;;;;;;
685;937080;0.00;;;;;;;;;
686;939820;0.00;;;;;;;;;
687;942564;0.00;;;;;;;;;
688;945312;0.00;;;;;;;;;
689;948064;0.00;;;;;;;;;
690;950820;0.00;;;;;;;;;
691;953580;0.00;;;;;;;;;
692;956344;0.00;;;;;;;;;
693;959112;0.00;;;;;;;;;
694;961884;0.00;;;;;;;;;
695;964660;0.00;;;;;;;;;
696;967440;0.00;;;;;;;;;
697;970224;0.00;;;;;;;;;
698;973012;0.00;;;;;;;;;
699;975804;0.00;;;;;;;;;
700;978600;0.00;;;;;;;;;
701;981400;0.00;;;;;;;;;
702;984204;0.00;;;;;;;;;
703;987012;0.00;;;;;;;;;
704;989824;0.00;;;;;;;;;
705;992640;0.00;;;;;;;;;
706;995460;0.00;;;;;;;;;
707;998284;0.00;;;;;;;;;
708;1001112;0.00;;;;;;;;;
709;1003944;0.00;;;;;;;;;
710;1006780;0.00;;;;;;;;;
711;1009620;0.00;;;;;;;;;
712;1012464;0.00;;;;;;;;;
713;1015312;0.00;;;;;;;;;
714;1018164;0.00;;;;;;;;;
715;1021020;0.00;;;;;;;;;
716;1023880;0.00;;;;;;;;;
717;1026744;0.00;;;;;;;;;
718;1029612;0.00;;;;;;;;;
719;1032484;0.00;;;;;;;;;
720;1035360;0.00;;;;;;;;;
721;1038240;0.00;;;;;;;;;
722;1041124;0.00;;;;;;;;;
723;1044012;0.00;;;;;;;;;
724;1046904;0.00;;;;;;;;;
725;1049800;0.00;;;;;;;;;
726;1052700;0.00;;;;;;;;;
727;1055604;0.00;;;;;;;;;
728;1058512;0.00;;;;;;;;;
729;1061424;0.00;;;;;;;;;
730;1064340;0.00;;;;;;;;;
731;1067260;0.00;;;;;;;;;
732;1070184;0.00;;;;;;;;;
733;1073112;0.00;;;;;;;;;
734;1076044;0.00;;;;;;;;;
735;1078980;0.00;;;;;;;;;
736;1081920;0.00;;;;;;;;;
737;1084864;0.00;;;;;;;;;
738;1087812;0.00;;;;;;;;;
739;1090764;0.00;;;;;;;;;
740;1093720;0.00;;;;;;;;;
741;1096680;0.00;;;;;;;;;
742;1099644;0.00;;;;;;;;;
743;1102612;0.00;;;;;;;;;
744;1105584;0.00;;;;;;;;;
745;1108560;0.00;;;;;;;;;
746;1111540;0.00;;;;;;;;;
747;1114524;0.00;;;;;;;;;
748;1117512;0.00;;;;;;;;;
749;1120504;0.00;;;;;;;;;
750;1123500;0.00;;;;;;;;;
751;1126500;0.00;;;;;;;;;
752;1129504;0.00;;;;;;;;;
753;1132512;0.00;;;;;;;;;
754;1135524;0.00;;;;;;;;;
755;1138540;0.00;;;;;;;;;
756;1141560;0.00;;;;;;;;;
757;1144584;0.00;;;;;;;;;
758;1147612;0.00;;;;;;;;;
759;1150644;0.00;;;;;;;;;
760;1153680;0.00;;;;;;;;;
761;1156720;0.00;;;;;;;;;
762;1159764;0.00;;;;;;;;;
763;1162812;0.00;;;;;;;;;
764;1165864;0.00;;;;;;;;;
765;1168920;0.00;;;;;;;;;
766;1171980;0.00;;;;;;;;;
767;1175044;0.00;;;;;;;;;
768;1178112;0.00;;;;;;;;;
